episode,reward
166,-132.1707648539997
167,-215.11884921197975
168,-353.96364566079615
169,-209.1812296615955
170,-340.98053782838986
171,-208.71054756101162
172,-140.85009680082965
173,-116.09682858163464
174,-123.38042252920984
175,-124.34649436564558
176,-113.7280250304348
177,-228.28846783739357
178,-232.48185420367824
179,-238.28798945974575
180,-235.52721646969545
181,-338.69070043942077
182,-218.22296698035697
183,-125.99267752141697
184,-215.53219531019397
185,-217.1818833347
186,-185.5191734699776
187,-349.89396394755147
188,-124.50396530441743
189,-123.14666396962033
190,-200.02245681997263
191,-170.9383609089284
192,-226.95401743569133
193,-325.9167544021342
194,-339.36183014369095
195,-198.3574297921087
196,-196.29908062843992
197,-194.1271653035511
198,-346.3680076268447
199,-222.84660252595276
200,-189.47105788564556
201,-299.20891175020023
202,-178.5389968673441
203,-237.55034534090615
204,-310.4338387073016
205,-186.78148966885036
206,-219.876083449385
207,-203.74192608932665
208,-342.55696789200033
209,-168.3575916896963
210,-107.51061989908756
211,-327.85467222016314
212,-202.63885952554472
213,-358.2449270437456
214,-193.25211405760984
215,-429.9760085665844
216,-185.62474068086652
217,-343.80205144766444
218,-298.683636427732
219,-119.36597269186166
220,-227.54744326230738
221,-315.57524342737617
222,-185.95500609714975
223,-184.3553494737626
224,-312.4105170809205
225,-192.8442551682306
226,-120.8868474059517
227,-99.44413486668097
228,-105.40174999324974
229,-208.46420157534243
230,-120.39421381407674
231,-313.8182201536001
232,-196.08072539299226
233,-155.86259493201388
234,-239.77234198301488
235,-161.52094998295112
236,-212.28744788334686
237,-183.1907799173867
238,-212.16304140760158
239,-313.8439088975467
240,-169.277346656363
241,-164.22356589872754
242,-208.9698036881188
243,-156.21498472585242
244,-103.25203471444016
245,-179.36164199610084
246,-161.2258845104388
247,-104.69918692833284
248,-177.3608481622583
249,-300.83935805395157
250,-188.35574405057986
251,-187.43722756662797
252,-184.86535451456928
253,-97.39898034941639
254,-165.81461757107172
255,-337.28752184023494
256,-182.8345952884955
257,-193.50002134543178
258,-163.0688590906411
259,-151.90886463870925
260,-139.82413280835112
261,-322.20376016256563
262,-133.09650705231488
263,-160.53317659917383
264,-144.4826142111489
265,-96.86907883247441
266,-293.6196172322254
267,-137.44128325684215
268,-92.70178969872477
269,-298.65852688359377
270,-98.83240023523585
271,-175.16614389577657
272,-154.61543401364085
273,-172.40642399174783
274,-152.50381884455268
275,-89.51680181992111
276,-176.7659429515138
277,-166.59585636718285
278,-170.1810933995331
279,-115.53691762693855
280,-299.6892995253609
281,-211.6529616026981
282,-211.41485524583973
283,-173.3018575256282
284,-155.11111912527838
285,-141.2602570432428
286,-112.28485009755853
287,-286.95771253442854
288,-305.3796080208405
289,-168.24557378339026
290,-157.56598061936126
291,-162.55889499601804
292,-153.94190141818802
293,-163.0743182704795
294,-88.20613881293372
295,-136.5108099818844
296,-146.25771689059755
297,-155.1083250422623
298,-153.37558232226925
299,-126.33739488886386
300,-174.2991260170872
301,-149.39141756076452
302,-128.16761093902178
303,-91.42874061235469
304,-156.9105603417966
305,-160.31627269077
306,-325.00779701009543
307,-151.10425650375439
308,-153.00682170223868
309,-146.81631759386661
310,-164.12956590115763
311,-167.6367787660196
312,-165.25392736871993
313,-149.09012440736817
314,-309.8747536975037
315,-149.402350438369
316,-141.93310724673142
317,-322.86081915122224
318,-298.2111452460437
319,-143.84255962190605
320,-302.2152393327193
321,-139.2178061294121
322,-135.88621123699767
323,-157.02797818614306
324,-86.31574655159282
325,-88.03656869976238
326,-149.6708841462341
327,-148.26532008538277
328,-91.58450497805347
329,-288.6224047466373
330,-99.4237729568175
331,-142.79500461345052
332,-139.5002066794791
333,-153.37830466695303
334,-296.57818001857424
335,-275.83813562720474
336,-348.85712870862943
337,-141.62181349135665
338,-823.3728769995782
339,-140.41111656798927
340,-157.69511148539124
341,-87.12118648271647
342,-140.29188856074916
343,-292.98233577923054
344,-161.34765957033656
345,-140.60379452739997
346,-139.38064686086133
347,-270.4125526648278
348,-83.03772602608628
349,-135.6532485082999
350,-280.3705757209727
351,-279.0897599438039
352,-274.79645331492446
353,-284.6478650046766
354,-85.83887790825982
355,-165.44166556664726
356,-1078.841498060199
357,-93.58017445766941
358,-159.62733769467116
359,-288.8446906334857
360,-160.10239038546987
361,-277.0987571030658
362,-144.20393321548488
363,-81.53961192230908
364,-148.35813280911893
365,-137.0705561932312
366,-97.62027793878674
367,-222.6929857648544
368,-145.48752729861522
369,-168.9570307389914
370,-158.69405249414388
371,-171.72767585139022
372,-88.27556438280095
373,-206.38467271539957
374,-142.68003038769288
375,-282.91821651761086
376,-288.36452053199264
377,-156.56528206854378
378,-77.06258412663871
379,-149.1626456057617
380,-141.09335367741883
381,-135.0200750621691
382,-84.69666509865858
383,-283.2202208744562
384,-161.81975738081763
385,-90.54847239141405
386,-167.33882909012965
387,-154.83276145340525
388,-131.1646582689598
389,-144.9517511612015
390,-288.0800260808266
391,-176.0461848873777
392,-156.24112300304836
393,-291.16763485052576
394,-450.9872676574718
395,-156.91773474813803
396,-148.24470670831087
397,-86.44196798862271
398,-277.1330824087499
399,-158.37796791354793
400,-137.59207564519824
401,-152.97091754692025
402,-85.63946750713035
403,-169.41938215864494
404,-291.6447957143791
405,-147.87258212884944
406,-278.12967892375275
407,-298.3810205373855
408,-104.32548179042344
409,-113.66137490452941
410,-154.99214004767987
411,-162.0128009723478
412,-202.91668710881274
413,-96.24213491443396
414,-223.42031375311268
415,-178.9509160588696
416,-162.77314211137937
417,-109.61407052903526
418,-170.03121920766247
419,-83.91262947655295
420,-263.3747661535186
421,-179.73035631084716
422,-142.38921098537674
423,-131.34241204984912
424,-165.1333972539711
425,-314.1319192662119
426,-161.04972170881905
427,-146.7537472423575
428,-170.71227392198458
429,-166.3308299562941
430,-65.95009961051568
431,-157.13779153840395
432,-171.54567798535487
433,-148.59755118698985
434,-152.39163486875495
435,-309.04129545170144
436,-116.86424392827685
437,-167.9252733500103
438,-79.20048357036225
439,-144.27375162515472
440,-119.30225333699367
441,-288.76792793575703
442,-110.11553792422657
443,-94.23649464204065
444,-143.2280548989457
445,-83.34389584632395
446,-128.71390953581516
447,-135.37722599188982
448,-131.31235625081015
449,-143.21628254489028
450,-133.17239357970865
451,-137.38901622249404
452,-80.6675033100115
453,-152.69154810453452
454,-127.66238043659571
455,-84.7919945356686
456,-72.92150845598513
457,-65.80218529277856
458,-135.40788616327637
459,-127.8440714713238
460,-61.64996726957251
461,-125.85520314713197
462,-141.4967036520217
463,-122.34646114047834
464,-155.76768025906065
465,-124.34927464219972
466,-134.328900151272
467,-84.05468648552413
468,-150.56624235092573
469,-128.600988741857
470,-76.68327460600058
471,-89.59437993620074
472,-281.53046281442954
473,-143.31143035645871
474,-129.74598793636946
475,-149.35133850782103
476,-900.1737239955467
477,-82.21460372731876
478,-137.46258551661626
479,-132.79250061460115
480,-132.84729259431072
481,-79.91861243733372
482,-67.37836033089043
483,-142.5159090946509
484,-312.5515116127585
485,-130.92396088861403
486,-129.52821469973074
487,-275.70314362620854
488,-117.20685701644922
489,-137.8016019188359
490,-161.7838967690437
491,-130.52516428936931
492,-125.4736817238591
493,-572.9736409499868
494,-274.7638391984972
495,-126.33609537508912
496,-146.74917014795727
497,-295.11007224078253
498,-286.14408003562943
499,-74.86261377719428
500,-77.51755035367474
