timestep,impact
0,15.188759841024876
1,15.188759841024876
2,15.188759841024876
3,15.21787566691637
4,15.188759841024876
5,15.226575136184692
6,15.254147808998823
7,15.188759841024876
8,15.188759841024876
9,15.226575136184692
10,15.188759841024876
11,15.226575136184692
12,15.188759841024876
13,15.226575136184692
14,15.188759841024876
15,15.188759841024876
16,15.188759841024876
17,15.265163976699114
18,15.188759841024876
19,15.188759841024876
20,15.21787566691637
21,15.188759841024876
22,15.188759841024876
23,15.21787566691637
24,15.226575136184692
25,15.188759841024876
26,15.226575136184692
27,15.188759841024876
28,15.188759841024876
29,17.12255171686411
30,17.25152749568224
31,17.123039573431015
32,17.21452432870865
33,17.081060752272606
34,17.075547367334366
35,17.107984803617
36,17.077058508992195
37,17.052963368594646
38,17.052359476685524
39,17.052296072244644
40,17.05255125463009
41,17.052015341818333
42,17.04988521337509
43,17.161792941391468
44,17.117382675409317
45,17.27233748137951
46,17.038582481443882
47,17.018318459391594
48,17.004083290696144
49,17.167829155921936
50,17.1538929566741
51,17.11506026238203
52,17.096973035484552
53,17.310811698436737
54,17.11619210988283
55,17.082181837409735
56,17.075562562793493
57,17.10569031536579
58,17.247725881636143
59,17.267078645527363
60,17.634395644068718
61,17.200051724910736
62,17.19041631370783
63,16.914798766374588
64,16.850876227021217
65,16.921239838004112
66,17.49006249010563
67,17.86050333082676
68,17.314564865082502
69,17.11415445804596
70,17.14313153922558
71,17.10725735127926
72,17.23516920208931
73,17.273351915180683
74,17.217580500990152
75,17.450369119644165
76,17.930996537208557
77,17.343300595879555
78,17.196593686938286
79,17.052302852272987
80,16.966013684868813
81,16.976288974285126
82,17.016482546925545
83,16.965015575289726
84,16.958016976714134
85,16.94839596375823
86,16.941820666193962
87,16.932652860879898
88,16.93586080521345
89,16.912925750017166
90,17.21290110051632
91,17.52636805176735
92,17.239643022418022
93,16.972903102636337
94,16.95531015843153
95,16.945041373372078
96,16.93369384855032
97,16.923058159649372
98,16.91122679412365
99,16.899817511439323
100,16.932460770010948
101,16.868155509233475
102,16.92541766166687
103,16.834589645266533
104,16.81823195517063
105,16.908159613609314
106,17.192803263664246
107,17.111944243311882
108,17.807246685028076
109,17.0958589091897
110,17.102170009166002
111,17.06713270023465
112,17.43269744515419
113,17.696263015270233
114,17.078405909240246
