traffic_state,green_phase_probability
Emergency,0.35201815
Emergency,0.342698
Emergency,0.3457028
Emergency,0.34319675
Emergency,0.3427498
Emergency,0.33855444
Emergency,0.3463937
Emergency,0.3414597
Emergency,0.34095526
Emergency,0.34452862
Emergency,0.3358868
Emergency,0.32860062
Emergency,0.3015248
Emergency,0.33027518
Emergency,0.32309386
Emergency,0.35519838
Emergency,0.35031077
Emergency,0.3610501
Emergency,0.33347088
Emergency,0.30498743
Emergency,0.33687884
Emergency,0.33209252
Emergency,0.32907918
Emergency,0.36024526
Emergency,0.34881496
Emergency,0.3400467
Emergency,0.34345475
Emergency,0.3356977
Emergency,0.3042646
Emergency,0.34221578
Emergency,0.34592018
Emergency,0.34834182
Emergency,0.34329453
Emergency,0.34322542
Emergency,0.3450015
Emergency,0.3426862
Emergency,0.34243613
Emergency,0.34159878
Emergency,0.3419062
Emergency,0.341674
Emergency,0.34262913
Emergency,0.34129003
Emergency,0.32454115
Emergency,0.2992353
Emergency,0.35730523
Emergency,0.35822985
Emergency,0.35311812
Emergency,0.35271206
Emergency,0.35230646
Emergency,0.35192654
Emergency,0.35153967
Emergency,0.3511916
Emergency,0.3553073
Emergency,0.3504513
Emergency,0.3604287
Emergency,0.35333928
Emergency,0.35318908
Emergency,0.3617604
Emergency,0.3644576
Emergency,0.35910574
Emergency,0.30305982
Emergency,0.33546928
Emergency,0.3370456
Emergency,0.3379741
Emergency,0.3174929
Emergency,0.29554203
Emergency,0.35660627
Emergency,0.35476953
Emergency,0.347654
Emergency,0.3456311
Emergency,0.34768918
Emergency,0.35234964
Emergency,0.34987485
Emergency,0.34164363
Emergency,0.35294008
Emergency,0.353113
Emergency,0.3506713
Emergency,0.34490523
Emergency,0.351275
Emergency,0.3424276
Emergency,0.32892182
Emergency,0.29547492
Emergency,0.3393434
Emergency,0.34445292
Emergency,0.34121978
Emergency,0.34162277
Emergency,0.3414214
Emergency,0.3172175
Emergency,0.2994531
Emergency,0.35760823
Emergency,0.35778004
Emergency,0.35407627
Emergency,0.3544022
Emergency,0.3534914
Emergency,0.35317835
Emergency,0.3409324
Emergency,0.3436987
Emergency,0.33547574
Emergency,0.3477337
Emergency,0.3415142
Emergency,0.333803
Emergency,0.30202273
Emergency,0.33987
Emergency,0.33967042
Emergency,0.33113432
Emergency,0.3393584
Emergency,0.33926898
Emergency,0.3329628
Emergency,0.31269732
Emergency,0.28252453
Emergency,0.34603882
Emergency,0.35658672
Emergency,0.35017467
Emergency,0.3614369
Emergency,0.35478452
Emergency,0.35019144
Emergency,0.36294335
Emergency,0.35457525
Emergency,0.3590439
Emergency,0.34317774
Emergency,0.33930624
Emergency,0.34677157
Emergency,0.3409738
Emergency,0.34241334
Emergency,0.33617413
Emergency,0.33533487
Emergency,0.29747653
Emergency,0.34522507
Emergency,0.34527344
Emergency,0.3461394
Emergency,0.34592295
