timestep,value,advantage
0,-15.147588729858398,0.0411711111664772
1,-15.147588729858398,0.0411711111664772
2,-15.147588729858398,0.0411711111664772
3,-15.195050239562988,0.02282542735338211
4,-15.147588729858398,0.0411711111664772
5,-15.18986701965332,0.03670811653137207
6,-15.23290729522705,0.021240513771772385
7,-15.147588729858398,0.0411711111664772
8,-15.147588729858398,0.0411711111664772
9,-15.18986701965332,0.03670811653137207
10,-15.147588729858398,0.0411711111664772
11,-15.18986701965332,0.03670811653137207
12,-15.147588729858398,0.0411711111664772
13,-15.18986701965332,0.03670811653137207
14,-15.147588729858398,0.0411711111664772
15,-15.147588729858398,0.0411711111664772
16,-15.147588729858398,0.0411711111664772
17,-15.244766235351562,0.020397741347551346
18,-15.147588729858398,0.0411711111664772
19,-15.147588729858398,0.0411711111664772
20,-15.195050239562988,0.02282542735338211
21,-15.147588729858398,0.0411711111664772
22,-15.147588729858398,0.0411711111664772
23,-15.195050239562988,0.02282542735338211
24,-15.18986701965332,0.03670811653137207
25,-15.147588729858398,0.0411711111664772
26,-15.18986701965332,0.03670811653137207
27,-15.147588729858398,0.0411711111664772
28,-15.147588729858398,0.0411711111664772
29,-17.113967895507812,0.00858382135629654
30,-17.17635154724121,0.0751759484410286
31,-16.996238708496094,0.12680086493492126
32,-17.041431427001953,0.17309290170669556
33,-16.9647274017334,0.11633335053920746
34,-16.9695987701416,0.10594859719276428
35,-16.986831665039062,0.12115313857793808
36,-16.966190338134766,0.1108681708574295
37,-16.9504451751709,0.10251819342374802
38,-16.949180603027344,0.10317887365818024
39,-16.933815002441406,0.11848106980323792
40,-16.947071075439453,0.10548017919063568
41,-16.94491195678711,0.1071033850312233
42,-16.941396713256836,0.10848850011825562
43,-17.1098575592041,0.051935382187366486
44,-17.053577423095703,0.06380525231361389
45,-17.24757194519043,0.024765536189079285
46,-16.92995262145996,0.10862985998392105
47,-16.90055274963379,0.11776570975780487
48,-16.879337310791016,0.12474597990512848
49,-17.126882553100586,0.0409466028213501
50,-17.083385467529297,0.0705074891448021
51,-17.066869735717773,0.04819052666425705
52,-17.049278259277344,0.04769477620720863
